Book_ID,Title,Author,Genre,Published_Year,Price,Stock
93,Object-based multimedia algorithm,Frank Aguilar,Non-Fiction,2009,17.43,37
94,Open-source 5thgeneration alliance,Laurie Allen,Science Fiction,2001,16.86,75
95,Function-based heuristic analyzer,Craig Smith,Biography,1990,49.53,11
96,Up-sized impactful artificial intelligence,Rebecca Delgado,Science Fiction,1913,12.55,73
97,Open-architected stable solution,Chad Nichols,Science Fiction,2017,45.74,70
98,Digitized encompassing definition,Thomas Gonzales,Fantasy,1996,46.71,83
99,Optimized heuristic challenge,Tracy Hendrix,Science Fiction,1962,46.93,26
100,Synchronized client-server service-desk,James Alvarado,Fiction,1906,49.89,29
101,Multi-tiered context-sensitive hub,Amanda Knight,Mystery,1923,48.49,40
102,Ergonomic stable open architecture,Robin Brown,Romance,1955,40.22,31
103,Upgradable foreground open system,Kathryn Lopez,Science Fiction,1907,43.25,11
104,Automated radical solution,Leonard Vega,Biography,1948,10.56,82
105,Expanded explicit neural-net,Melissa Tucker,Romance,2005,30.02,4
106,Cross-group zero administration utilization,Mary Barnett,Mystery,1988,29.58,80
107,Front-line client-driven projection,Amy Andrews,Science Fiction,1996,19.85,44
108,Future-proofed fault-tolerant encoding,Larry Andrews,Science Fiction,1918,25.38,28
109,Operative foreground project,Valerie Mcfarland,Fantasy,1970,8.54,60
110,Re-contextualized radical matrix,Michael Howell,Fantasy,1903,30.15,2
111,Switchable full-range definition,Joseph Rivas,Mystery,1932,40.29,54
112,Distributed secondary software,Erik Reynolds,Romance,1969,8.02,21
113,Versatile value-added structure,Jackson Hill,Science Fiction,1936,6.38,76
114,Open-architected scalable knowledge user,Mitchell Larson,Mystery,2016,7.28,2
115,Upgradable interactive emulation,Christopher Ross,Biography,2021,28.12,37
116,Multi-tiered foreground contingency,Jamie Gates,Fiction,1938,41.82,50
117,Self-enabling contextually-based frame,Lori Taylor,Science Fiction,1966,14.87,20
118,Profound didactic leverage,Andrew Murphy,Fantasy,2017,5.52,22
119,Switchable modular moratorium,Tonya Saunders,Romance,2010,49.88,76
120,Integrated secondary access,Sheena Harris,Non-Fiction,1984,48.03,93
121,Switchable needs-based strategy,Richard Fisher,Biography,1957,42.47,38
122,Profound leadingedge capability,Mary French,Mystery,1992,30.75,17
123,Enterprise-wide dedicated knowledge user,Jordan Merritt,Mystery,1938,37.6,16
124,Seamless demand-driven focus group,Matthew Fuentes,Mystery,1968,27.1,11
125,Public-key analyzing Graphic Interface,Abigail Madden,Fiction,1990,32.41,16
126,Persevering national encoding,Paul Moore,Mystery,1949,25.33,78
127,Business-focused real-time benchmark,David Nelson,Science Fiction,1997,11.66,0
128,Visionary modular productivity,Ruben Nichols,Romance,1949,24.04,35
129,Decentralized multi-tasking data-warehouse,Dr. Kelly Armstrong,Romance,1959,40.74,29
130,Realigned context-sensitive pricing structure,Jason Rodriguez,Fiction,2004,6.64,90
131,Proactive 6thgeneration methodology,Betty Carroll,Mystery,1902,27.28,11
132,Multi-lateral methodical implementation,Lauren Moore,Fantasy,1907,20.46,53
133,Reduced discrete leverage,Zachary Buchanan,Mystery,1911,20.96,90
134,Polarized bandwidth-monitored throughput,Linda Newman,Fiction,1955,35.72,49
135,Customizable bi-directional focus group,Kristin Farley,Mystery,2001,15.13,83
136,Stand-alone intangible installation,Morgan Mata,Romance,2012,9.89,84
137,Networked contextually-based encryption,Leslie Montoya,Biography,1942,26.33,1
138,Profound zero-defect knowledgebase,Carolyn Garcia,Fantasy,1978,24.77,8
139,Synergistic analyzing intranet,Robert Garcia,Biography,1923,35.4,51
140,Assimilated asymmetric Local Area Network,Timothy Williams,Biography,2003,31.49,6
141,Exclusive hybrid monitoring,Dr. Heather Boyd,Romance,1909,49.42,36
142,Multi-tiered responsive parallelism,Amanda Wilson,Fiction,1940,48.96,11
143,Networked multimedia support,Nancy Goodman,Fiction,2012,43.65,50
144,Future-proofed scalable software,Matthew Wolf,Fiction,1945,19.27,90
145,Phased eco-centric array,Barry Bennett,Fantasy,1905,22.53,57
146,Stand-alone hybrid framework,Ethan Kennedy,Non-Fiction,1903,14.5,91
147,Innovative empowering concept,Brad Vasquez,Science Fiction,1964,45.2,74
148,Upgradable contextually-based hierarchy,Jared Reyes,Fantasy,1941,12.25,97
149,Expanded explicit solution,Tonya Robertson,Biography,1957,17.09,73
150,Phased logistical open system,Jenna Henderson,Biography,1952,31.95,32
151,Innovative real-time neural-net,David Miller,Non-Fiction,1998,33.87,38
152,Advanced dynamic complexity,Elizabeth Ayala,Fantasy,1983,46.77,84
153,Synergistic needs-based capability,Aaron Alvarez,Science Fiction,1950,8.05,52
154,Horizontal hybrid forecast,Alexander Wallace,Mystery,1919,17.44,19
155,Optimized content-based standardization,Timothy Adams,Science Fiction,1901,49.96,88
156,Synergistic grid-enabled website,Brandon Black,Fiction,1953,31.68,34
157,Advanced didactic time-frame,Thomas Trujillo,Biography,2005,19.17,57
158,Digitized optimal intranet,James Silva,Mystery,1919,24.69,40
159,Proactive 5thgeneration middleware,Brandon Foster,Biography,1999,36.21,49
160,Digitized cohesive emulation,Jared Cortez,Science Fiction,1924,34.48,65
161,Focused high-level strategy,Stephanie Sloan,Fantasy,1963,21.6,11
162,Centralized maximized database,Tracy Pace,Mystery,1981,48.84,64
163,Object-based eco-centric challenge,Douglas Mccarthy,Non-Fiction,1905,19.11,0
164,Expanded scalable time-frame,Ashley Mason,Non-Fiction,2013,41.83,4
165,Exclusive uniform superstructure,Carl Cantrell,Mystery,1912,32.1,19
166,Customizable discrete Graphical User Interface,Rebecca Alexander,Romance,1951,11.02,56
167,User-friendly radical standardization,Leon Davis,Science Fiction,1954,36.02,55
168,Vision-oriented radical capability,Tracy Parker,Mystery,2018,14.13,61
169,Networked tertiary approach,Margaret Moore,Biography,1963,23.57,45
170,Optional stable matrix,Michael Wells,Non-Fiction,1947,11.28,62
171,Integrated hybrid collaboration,Sarah Vincent,Science Fiction,2004,32.15,99
172,Centralized homogeneous open system,Dennis Smith,Biography,1977,36.82,97
173,Ergonomic foreground Graphic Interface,Patrick Williams,Fiction,1948,6.07,100
174,Pre-emptive executive knowledge user,Rebecca Mann,Mystery,1951,37.83,18
175,Networked disintermediate projection,John Bradley,Biography,1910,32.85,39
176,Fundamental system-worthy parallelism,Cameron Garcia,Fantasy,1924,16.11,52
177,Visionary exuding product,Christopher Johnson,Romance,1904,36.2,3
178,Organized even-keeled conglomeration,Christopher Ray,Science Fiction,1970,27.89,31
179,Innovative didactic capacity,Matthew Vazquez,Science Fiction,2009,48.21,66
180,Front-line discrete complexity,David Rodriguez,Science Fiction,2001,25.09,14
181,Balanced object-oriented Graphic Interface,Dylan Christensen,Romance,1987,38.73,85
182,Reduced bottom-line forecast,Virginia Butler,Mystery,2014,23.76,9
183,Total exuding project,Richard Curtis,Mystery,2001,15.4,6
184,Enterprise-wide solution-oriented challenge,Megan Jones,Fantasy,1978,5.25,22
185,Networked object-oriented definition,Kelly Vazquez,Fiction,1940,21.98,10
186,Sharable executive conglomeration,Pam Price,Mystery,1938,41.33,4
187,Total well-modulated groupware,Kenneth Phillips,Fiction,1989,22.98,7
188,Switchable value-added conglomeration,Clinton Mcintyre MD,Science Fiction,2014,20.14,73
189,Grass-roots eco-centric task-force,Brandon Munoz,Mystery,1989,13.65,88
190,Cross-platform even-keeled focus group,Andrew Parker,Science Fiction,2016,38.36,4
191,Multi-layered 24hour infrastructure,Casey Moreno,Romance,1911,42.19,8
192,Phased solution-oriented collaboration,Nicholas Roth,Romance,1930,48.37,71
193,Customer-focused tertiary methodology,Justin Garcia,Fantasy,1954,29.54,100
194,Digitized content-based time-frame,Deborah White,Science Fiction,1982,33.88,64
195,Sharable tangible collaboration,Christian Ward,Biography,2021,11.63,20
196,Phased context-sensitive task-force,Rachel Gibbs,Science Fiction,1934,6.69,24
197,Organized content-based core,Brandon Martin,Mystery,1980,43.03,9
198,Persevering tertiary product,Michael Lee,Biography,1917,22.38,80
199,Configurable fault-tolerant interface,Mark Parker,Mystery,1923,42.81,1
200,Right-sized modular synergy,Marie Smith,Science Fiction,1939,9.96,32
201,Secured 24/7 groupware,Alexander Smith,Non-Fiction,1915,37.25,11
202,Balanced optimal open architecture,Lindsey Johnson,Mystery,1964,12.26,32
203,Self-enabling mobile software,Stephanie Frost,Non-Fiction,2003,27.22,52
204,Business-focused foreground model,Heather Zavala,Romance,1921,26.52,59
205,De-engineered attitude-oriented software,Anthony Martin,Fantasy,1990,5.83,8
206,Digitized executive flexibility,Lisa Lopez,Non-Fiction,1960,38.01,84
207,Total intangible application,Michael Booker,Non-Fiction,1922,6.67,53
208,Synergized intangible methodology,Ellen Doyle,Fantasy,1917,25.0,83
209,Distributed modular capability,Nicole Berger,Mystery,1979,48.67,63
210,Centralized 6thgeneration model,Yolanda Mclean,Science Fiction,1971,40.93,51
211,Centralized asymmetric data-warehouse,Dana Ibarra,Biography,1944,16.19,44
212,Diverse 4thgeneration knowledge user,Lindsey Lucas,Science Fiction,1950,18.69,35
213,Synchronized transitional alliance,Joseph Holt,Mystery,1903,6.79,35
214,Fundamental methodical open architecture,Jeffery Green,Fiction,2005,18.16,47
215,Organic 24/7 focus group,Marco Travis,Biography,1910,25.16,37
216,Down-sized mobile extranet,Mary Carter,Mystery,2019,24.63,92
217,Open-source 3rdgeneration secured line,Christina Terrell,Non-Fiction,2019,35.38,98
218,User-friendly tertiary forecast,Malik Stephens,Mystery,1948,5.36,34
219,Reactive bandwidth-monitored architecture,Michele Williams,Mystery,1961,20.9,32
220,Multi-lateral zero-defect matrix,Nicole Hughes,Fiction,1904,16.51,60
221,Re-engineered solution-oriented extranet,Robert Castaneda,Biography,1988,24.81,2
222,Virtual fault-tolerant model,Scott Wells,Science Fiction,1928,29.59,75
223,Virtual holistic Internet solution,Lauren Merritt,Mystery,1944,6.52,95
224,Multi-channeled coherent protocol,Joseph Jensen,Non-Fiction,2007,42.15,80
225,Synergized foreground website,Carrie Ware,Biography,1976,36.04,26
226,Devolved optimizing leverage,Thomas Anderson,Fantasy,1913,27.22,68
227,Centralized context-sensitive functionalities,Virginia Levine,Non-Fiction,1900,38.17,78
228,Managed object-oriented hardware,Ashley Gonzalez,Romance,1975,30.75,5
229,Managed hybrid array,Charles Smith,Romance,1965,20.46,78
230,Optional cohesive methodology,Jerome Lee,Science Fiction,1977,6.1,59
231,Polarized maximized challenge,Steven Davis,Non-Fiction,1986,9.37,84
232,Monitored 24/7 groupware,Vicki Mcgee,Science Fiction,1925,9.62,1
233,Team-oriented client-driven adapter,Adrian Avery,Mystery,2011,10.39,47
234,Total reciprocal monitoring,Reginald Chavez,Science Fiction,2006,7.15,9
235,Organized secondary protocol,Andrew Brown,Fantasy,1957,15.66,19
236,Assimilated disintermediate ability,Christopher Anderson,Romance,1948,10.78,87
237,Down-sized holistic hardware,Paul Williams,Mystery,1905,40.43,42
238,Optimized even-keeled analyzer,Sherri Griffith,Fantasy,1975,48.97,72
239,Devolved encompassing intranet,Linda Rasmussen,Science Fiction,1922,44.51,55
240,Stand-alone content-based hub,Lisa Ellis,Fantasy,1957,49.9,41
241,Up-sized fault-tolerant hub,Taylor Wang,Fantasy,2015,14.06,38
242,Business-focused responsive parallelism,Amy Reyes,Mystery,1954,33.79,38
243,Automated systemic toolset,Tiffany Conley,Fantasy,1953,8.87,65
244,Managed radical superstructure,David Hoover,Science Fiction,1968,7.37,88
245,Automated client-driven open architecture,Jose Brown,Non-Fiction,2000,16.06,18
246,Visionary actuating ability,Paul Taylor,Biography,1940,7.43,98
247,Innovative actuating instruction set,Ashley Hill,Science Fiction,1934,24.42,45
248,Cross-group responsive protocol,Cathy Knight,Science Fiction,2021,46.99,68
249,Fundamental national infrastructure,Nancy Austin,Fiction,1928,32.95,58
250,Devolved incremental intranet,Jessica Lopez,Science Fiction,1918,12.65,13
251,Seamless 5thgeneration challenge,Michelle Harris,Fiction,1906,8.87,98
252,Down-sized high-level encoding,Gabriela Russell MD,Fiction,1902,12.62,43
253,Horizontal didactic structure,Robert Rodriguez,Fiction,1961,11.66,21
254,Team-oriented bandwidth-monitored project,Jacqueline Ramsey,Mystery,1916,42.57,100
255,Switchable impactful superstructure,Amber Wells,Science Fiction,1906,24.51,24
256,Digitized multi-state circuit,Sarah Walker,Biography,1981,36.86,77
257,Multi-channeled 24/7 functionalities,William Pierce,Romance,1935,21.14,33
258,Robust systemic Graphical User Interface,Kyle Carter,Mystery,1916,9.95,6
259,Pre-emptive incremental secured line,Jason Perez,Science Fiction,1994,14.48,1
260,Business-focused methodical application,Brian King,Fiction,1907,49.59,10
261,Intuitive content-based toolset,Christopher Fuentes,Science Fiction,1964,14.25,52
262,Team-oriented content-based adapter,Dr. Kimberly Stevenson DVM,Biography,1979,21.02,86
263,Right-sized bifurcated definition,Kayla Wilkinson,Fiction,1965,9.79,3
264,De-engineered local interface,Wayne Hall,Biography,2015,20.51,47
265,Adaptive homogeneous moratorium,Jennifer Johnson,Non-Fiction,1926,46.6,66
266,Persevering disintermediate application,Jeremy Bailey,Non-Fiction,1927,33.29,92
267,Expanded demand-driven database,Gary Williams,Biography,1905,37.49,24
268,Monitored 5thgeneration challenge,Billy Aguilar,Biography,1960,8.1,62
269,Decentralized disintermediate Internet solution,Jerry Fisher,Romance,1963,33.08,42
270,Organized logistical architecture,Christopher Martinez,Romance,1919,13.17,25
271,Intuitive intangible circuit,Robin Mejia,Science Fiction,1974,22.08,82
272,Intuitive 4thgeneration intranet,Daniel Gillespie,Mystery,1959,5.16,79
273,Devolved zero administration process improvement,Emily James,Romance,1929,12.43,23
274,Automated systemic functionalities,Matthew Thomas,Fiction,1903,48.8,72
275,Team-oriented dedicated attitude,Jeffrey Richardson,Biography,2006,25.83,91
276,Profound radical access,Ryan Clark,Romance,1911,19.85,32
277,Progressive user-facing customer loyalty,Ashley Cunningham,Biography,1909,33.21,95
278,Exclusive asymmetric installation,Benjamin Flores,Fiction,1901,48.61,69
279,Upgradable radical adapter,Elizabeth Wilson,Non-Fiction,2008,30.5,28
280,Balanced next generation forecast,Aaron Rangel,Non-Fiction,1977,16.78,97
281,Fundamental object-oriented productivity,Robert Hatfield,Mystery,1931,16.34,83
282,Configurable local emulation,Russell Castillo,Biography,2016,38.19,3
283,Phased value-added access,Jessica Johnson,Non-Fiction,1903,17.0,94
284,Progressive 24hour artificial intelligence,Peter Cabrera,Science Fiction,1906,15.21,99
285,Devolved secondary function,Sheila Nelson,Science Fiction,1914,27.65,34
286,Sharable client-driven contingency,Joseph Crawford,Non-Fiction,1900,8.29,84
287,Exclusive encompassing pricing structure,Cynthia Diaz,Science Fiction,1994,40.19,32
288,Re-contextualized real-time Graphic Interface,Erica Parker,Science Fiction,1908,27.91,9
289,Inverse asynchronous superstructure,Lacey Lang,Mystery,1959,20.12,66
290,Expanded analyzing forecast,Holly Golden,Mystery,1988,43.81,31
291,Compatible impactful interface,Rachael Kelley,Biography,1957,7.77,13
292,Fully-configurable mission-critical artificial intelligence,Rachel Adkins,Mystery,2017,26.94,2
293,Secured object-oriented secured line,Megan Kennedy,Fantasy,1955,17.93,58
294,Pre-emptive clear-thinking workforce,Craig Sanchez,Mystery,1964,42.53,29
295,Persistent disintermediate artificial intelligence,Todd Davis,Non-Fiction,1977,28.66,65
296,Triple-buffered heuristic adapter,Jennifer Johnson,Non-Fiction,1949,11.49,49
297,Advanced well-modulated architecture,Chad Craig,Fiction,2016,35.65,2
298,Assimilated composite archive,Mark Gibson,Fiction,1957,46.66,62
299,Centralized disintermediate array,Donald Wiggins,Fiction,1909,28.19,73
300,Integrated fresh-thinking toolset,Joseph Jensen,Non-Fiction,1962,26.87,77
301,Polarized high-level installation,John Davidson,Fantasy,1975,21.66,77
302,Ergonomic leadingedge portal,James Curtis,Fiction,1981,28.67,92
303,Open-source background extranet,Meredith Miller,Romance,1968,6.57,77
304,Front-line high-level emulation,Amber Joyce,Non-Fiction,1935,13.48,23
305,Down-sized bandwidth-monitored open system,Susan Robbins,Fantasy,1999,31.66,27
306,Phased didactic product,Elizabeth Koch,Biography,1988,43.92,56
307,Expanded local infrastructure,Valerie Moore,Mystery,1914,14.43,7
308,Expanded maximized collaboration,Amanda Moore,Romance,2009,20.75,35
309,Mandatory homogeneous ability,George Sanchez,Fantasy,1939,11.74,77
310,Reduced well-modulated database,Raymond Nicholson,Non-Fiction,2021,47.92,40
311,Profit-focused static intranet,Kaitlyn Mills,Biography,1903,32.28,48
312,Balanced multi-state monitoring,Clayton Garcia DDS,Biography,1946,36.47,13
313,Profound client-driven paradigm,Nicole Olson,Non-Fiction,1997,47.16,53
314,Decentralized discrete archive,Jordan Holt,Romance,1914,9.59,74
315,Virtual exuding Internet solution,Anne George,Fiction,2012,42.9,40
316,Multi-tiered client-server methodology,Rebecca Chavez,Fantasy,1992,8.81,74
317,Upgradable client-driven ability,Patricia Kennedy,Science Fiction,1961,29.2,13
318,Cloned upward-trending installation,Sherry Kim,Fantasy,1921,40.11,94
319,Distributed disintermediate groupware,Michael Mckenzie,Fantasy,1964,42.61,50
320,Ergonomic clear-thinking interface,Judith Gutierrez,Fantasy,1950,5.07,55
321,Polarized optimizing moratorium,Amanda Savage,Biography,1911,24.32,16
322,Customizable object-oriented paradigm,Gail Lawson,Non-Fiction,1932,26.49,42
323,Balanced dynamic project,Kelly Hopkins,Biography,1976,35.83,2
324,Diverse dynamic contingency,James Duran,Fiction,1993,46.08,23
325,Proactive secondary help-desk,William Drake,Romance,1981,40.4,50
326,Networked composite Internet solution,Victoria Wilson,Non-Fiction,1903,15.15,78
327,Implemented zero-defect product,Kim Lee,Fiction,1984,21.4,29
328,Sharable intermediate task-force,Andrew Cervantes,Science Fiction,1940,10.26,28
329,Multi-tiered dedicated encryption,Jacob Fischer,Fiction,1973,38.49,27
330,Assimilated user-facing approach,Roy Wolf,Biography,1990,32.02,25
331,Profit-focused systematic project,Dennis Hooper,Fiction,1936,15.36,89
332,Quality-focused mobile migration,Tanya Brandt,Biography,1968,49.08,17
333,Advanced responsive extranet,Mark Chavez DDS,Fantasy,1959,27.76,29
334,Synergistic fault-tolerant attitude,Robert Bullock,Mystery,1913,35.68,88
335,Adaptive bi-directional implementation,Alexandra Cox,Romance,1938,47.29,23
336,Organized high-level algorithm,Grace Waller,Fantasy,2006,24.08,26
337,Progressive impactful structure,Karen Moreno,Fantasy,1901,34.28,44
338,Seamless analyzing encoding,Kevin Garcia,Mystery,1949,10.17,61
339,Centralized uniform extranet,Steven Mcdonald,Romance,2014,43.51,68
340,Proactive system-worthy orchestration,Robert Scott,Mystery,1907,49.98,88
341,Robust multimedia support,Scott Murphy,Non-Fiction,1933,19.59,42
342,Digitized regional monitoring,Kenneth Finley,Fiction,1969,17.11,84
343,De-engineered grid-enabled secured line,Marissa Smith,Mystery,2006,43.03,86
344,Optimized holistic approach,Brittney Brown,Romance,1990,39.63,27
345,Function-based disintermediate intranet,Michael Johnson,Science Fiction,1920,25.89,78
346,Object-based asynchronous moratorium,Jennifer Oliver,Fantasy,1965,9.97,23
347,Synergistic exuding website,Angelica Elliott,Mystery,1906,6.1,86
348,Object-based contextually-based model,Amber Patterson,Romance,1907,12.62,22
349,Monitored interactive focus group,Thomas Chung,Non-Fiction,2013,44.36,51
350,Exclusive 24hour groupware,Brian Baker,Romance,2008,31.67,49
351,Decentralized demand-driven middleware,Carmen Johnson,Fantasy,1972,34.98,42
352,Intuitive intermediate paradigm,Scott Bowman MD,Science Fiction,1927,6.01,97
353,Public-key intangible frame,Katherine Fry,Romance,1984,46.97,41
354,Enhanced holistic solution,Jeremy Hughes,Mystery,1927,21.09,41
355,Reduced systematic forecast,Christine Martin,Romance,1987,8.1,34
356,Front-line modular moratorium,Timothy Williams,Biography,1957,25.65,44
357,Intuitive value-added product,Hunter Odom,Non-Fiction,1983,11.85,27
358,Right-sized intangible infrastructure,Stephanie Clayton,Biography,1962,7.18,29
359,Secured maximized time-frame,Megan Burton,Romance,1970,28.19,99
360,Profound tertiary encoding,Jennifer Jones,Non-Fiction,2020,49.34,73
361,Optional object-oriented pricing structure,Jenna Johnson,Romance,1957,39.75,71
362,Profit-focused multimedia throughput,Andrea Lucas,Fiction,1933,29.43,64
363,Proactive explicit capability,Tony Curtis,Romance,1915,7.48,52
364,Persevering scalable leverage,Angel Shepherd,Science Fiction,1923,43.82,86
365,Synchronized impactful synergy,Megan Gutierrez,Science Fiction,1955,10.64,99
366,Re-contextualized national secured line,Robert Wilson,Fiction,1922,13.1,4
367,Universal analyzing support,Eric Taylor,Fiction,1940,29.32,35
368,Stand-alone logistical installation,Elizabeth Williams,Biography,1913,44.6,97
369,Diverse responsive focus group,Ashley Chavez,Biography,1966,22.65,100
370,Synergistic user-facing frame,David Olson,Non-Fiction,1977,43.91,97
